_id,employeeId,leaveTypeId,remainingDays,totalDays,usedDays,year
69c993e94f15ddb1a957eccd,69c993e94f15ddb1a957eccb,696a6fb10b6849bd411eedbf,6,6,0,2026
69c993e94f15ddb1a957ecce,69c993e94f15ddb1a957eccb,69779726b7473577ad7f0233,0,30,30,2026
69c993e94f15ddb1a957eccf,69c993e94f15ddb1a957eccb,69783ac8111b105aeac97904,1,3,2,2026
69c993e94f15ddb1a957ecd0,69c993e94f15ddb1a957eccb,69783baa111b105aeac97905,10,10,0,2026
69c993e94f15ddb1a957ecd1,69c993e94f15ddb1a957eccb,69783bc5111b105aeac97906,10,10,0,2026
69c996854f15ddb1a957ecd6,69c996854f15ddb1a957ecd4,696a6fb10b6849bd411eedbf,6,6,0,2026
69c996854f15ddb1a957ecd7,69c996854f15ddb1a957ecd4,69779726b7473577ad7f0233,30,30,0,2026
69c996854f15ddb1a957ecd8,69c996854f15ddb1a957ecd4,69783ac8111b105aeac97904,3,3,0,2026
69c996854f15ddb1a957ecd9,69c996854f15ddb1a957ecd4,69783baa111b105aeac97905,10,10,0,2026
69c996854f15ddb1a957ecda,69c996854f15ddb1a957ecd4,69783bc5111b105aeac97906,10,10,0,2026
69c997d34f15ddb1a957ecdf,69c997d34f15ddb1a957ecdd,696a6fb10b6849bd411eedbf,6,6,0,2026
69c997d34f15ddb1a957ece0,69c997d34f15ddb1a957ecdd,69779726b7473577ad7f0233,30,30,0,2026
69c997d34f15ddb1a957ece1,69c997d34f15ddb1a957ecdd,69783ac8111b105aeac97904,3,3,0,2026
69c997d34f15ddb1a957ece2,69c997d34f15ddb1a957ecdd,69783baa111b105aeac97905,10,10,0,2026
69c997d34f15ddb1a957ece3,69c997d34f15ddb1a957ecdd,69783bc5111b105aeac97906,1,10,9,2026
69c997f94f15ddb1a957ece6,69c997f94f15ddb1a957ece4,696a6fb10b6849bd411eedbf,6,6,0,2026
69c997f94f15ddb1a957ece7,69c997f94f15ddb1a957ece4,69779726b7473577ad7f0233,30,30,0,2026
69c997f94f15ddb1a957ece8,69c997f94f15ddb1a957ece4,69783ac8111b105aeac97904,3,3,0,2026
69c997f94f15ddb1a957ece9,69c997f94f15ddb1a957ece4,69783baa111b105aeac97905,10,10,0,2026
69c997f94f15ddb1a957ecea,69c997f94f15ddb1a957ece4,69783bc5111b105aeac97906,10,10,0,2026
69c99e6f4f15ddb1a957ecf9,69c99e6f4f15ddb1a957ecf7,696a6fb10b6849bd411eedbf,6,6,0,2026
69c99e6f4f15ddb1a957ecfa,69c99e6f4f15ddb1a957ecf7,69779726b7473577ad7f0233,30,30,0,2026
69c99e6f4f15ddb1a957ecfb,69c99e6f4f15ddb1a957ecf7,69783ac8111b105aeac97904,3,3,0,2026
69c99e6f4f15ddb1a957ecfc,69c99e6f4f15ddb1a957ecf7,69783baa111b105aeac97905,6,10,4,2026
69c99e6f4f15ddb1a957ecfd,69c99e6f4f15ddb1a957ecf7,69783bc5111b105aeac97906,10,10,0,2026
69c99e914f15ddb1a957ed00,69c99e914f15ddb1a957ecfe,696a6fb10b6849bd411eedbf,6,6,0,2026
69c99e914f15ddb1a957ed01,69c99e914f15ddb1a957ecfe,69779726b7473577ad7f0233,30,30,0,2026
69c99e914f15ddb1a957ed02,69c99e914f15ddb1a957ecfe,69783ac8111b105aeac97904,3,3,0,2026
69c99e914f15ddb1a957ed03,69c99e914f15ddb1a957ecfe,69783baa111b105aeac97905,10,10,0,2026
69c99e914f15ddb1a957ed04,69c99e914f15ddb1a957ecfe,69783bc5111b105aeac97906,10,10,0,2026
