_id,action,createdAt,details,targetId,targetType,userId
69c7eb14eb05d6e048d33860,CREATE_LEAVE,2026-03-28 14:52:04.632000,Created leave request for Annual Leave,69c7eb14eb05d6e048d3385f,LeaveRequest,69c7df65eb05d6e048d33844
69c7ed66eb05d6e048d33862,CREATE_LEAVE,2026-03-28 15:01:58.542000,Created leave request for Annual Leave,69c7ed66eb05d6e048d33861,LeaveRequest,69c7df65eb05d6e048d33844
69c7eeb6eb05d6e048d33864,CREATE_LEAVE,2026-03-28 15:07:34.950000,Created leave request for Annual Leave,69c7eeb6eb05d6e048d33863,LeaveRequest,69c7df65eb05d6e048d33844
69c7ef04eb05d6e048d33866,CREATE_LEAVE,2026-03-28 15:08:52.785000,Created leave request for Annual Leave,69c7ef04eb05d6e048d33865,LeaveRequest,69c7df65eb05d6e048d33844
69c7ef63eb05d6e048d33868,CREATE_LEAVE,2026-03-28 15:10:27.331000,Created leave request for Annual Leave,69c7ef63eb05d6e048d33867,LeaveRequest,69c7df65eb05d6e048d33844
69c7f6f0c91f6ef4a583e28e,CREATE_LEAVE,2026-03-28 15:42:40.864000,Created leave request for Annual Leave,69c7f6f0c91f6ef4a583e28d,LeaveRequest,69c7df65eb05d6e048d33844
69c7fb9dc91f6ef4a583e290,CREATE_LEAVE,2026-03-28 16:02:37.239000,Created leave request for Annual Leave,69c7fb9dc91f6ef4a583e28f,LeaveRequest,69c7df65eb05d6e048d33844
69c7fdaec91f6ef4a583e292,APPROVE_LEAVE,2026-03-28 16:11:26.783000,Approved leave for employee,697e19f3e93e4270190207ba,LeaveRequest,697f4b0253061dbd6d878dec
69c7fe56c91f6ef4a583e294,REJECT_LEAVE,2026-03-28 16:14:14.869000,Rejected leave for employee. Reason: งานโปรเจคเร่งด่วน,697e1b05e93e4270190207bb,LeaveRequest,697f4b0253061dbd6d878dec
69c7ff4fc91f6ef4a583e296,REJECT_LEAVE,2026-03-28 16:18:23.791000,Rejected leave for employee. Reason: ,697e2773e93e4270190207bc,LeaveRequest,697f4b0253061dbd6d878dec
69c8011dc91f6ef4a583e298,CREATE_LEAVE,2026-03-28 16:26:05.859000,Created leave request for Sick Leave,69c8011dc91f6ef4a583e297,LeaveRequest,697f4b0253061dbd6d878dec
69c80144c91f6ef4a583e29a,APPROVE_LEAVE,2026-03-28 16:26:44.459000,Approved leave for manager,69c8011dc91f6ef4a583e297,LeaveRequest,6977294f0c6001df4bf44c9a
69c802aac91f6ef4a583e2a4,APPROVE_LEAVE,2026-03-28 16:32:42.870000,Approved leave for hrr,69b33c3c6278a76ae9efd7e4,LeaveRequest,69c80260c91f6ef4a583e29c
69c841b0c64092772f1fe1e9,CREATE_LEAVE,2026-03-28 21:01:36.963000,Created leave request for Unpaid Leave,69c841b0c64092772f1fe1e8,LeaveRequest,69c7df65eb05d6e048d33844
69c84585c64092772f1fe1fe,CREATE_LEAVE,2026-03-28 21:17:57.523000,Created leave request for Sick Leave,69c84585c64092772f1fe1fd,LeaveRequest,69c84506c64092772f1fe1f1
69c845a4c64092772f1fe200,APPROVE_LEAVE,2026-03-28 21:18:28.574000,Approved leave for papxd,69c84585c64092772f1fe1fd,LeaveRequest,6977294f0c6001df4bf44c9a
69c84a5dc64092772f1fe202,CREATE_LEAVE,2026-03-28 21:38:37.052000,Created leave request for Sick Leave,69c84a5cc64092772f1fe201,LeaveRequest,697f4b0253061dbd6d878dec
69c84a70c64092772f1fe204,REJECT_LEAVE,2026-03-28 21:38:56.457000,Rejected leave for manager. Reason: d,69c84a5cc64092772f1fe201,LeaveRequest,6977294f0c6001df4bf44c9a
69c84a72c64092772f1fe206,REJECT_LEAVE,2026-03-28 21:38:58.366000,Rejected leave for personal. Reason: d,69c8428fc64092772f1fe1ea,LeaveRequest,6977294f0c6001df4bf44c9a
69c84a73c64092772f1fe208,REJECT_LEAVE,2026-03-28 21:38:59.652000,Rejected leave for personal. Reason: d,69c841b0c64092772f1fe1e8,LeaveRequest,6977294f0c6001df4bf44c9a
69c9514010055fa5e7fb83c6,CREATE_LEAVE,2026-03-29 16:20:16.363000,Created leave request for Sick Leave,69c9514010055fa5e7fb83c5,LeaveRequest,69c947fe89315d51bac071d7
69c996b34f15ddb1a957ecdc,APPROVE_LEAVE,2026-03-29 21:16:35.695000,Approved leave for sick,69c9946a4f15ddb1a957ecd2,LeaveRequest,69c996854f15ddb1a957ecd4
69c998884f15ddb1a957ecec,CREATE_LEAVE,2026-03-29 21:24:24.302000,Created leave request for Unpaid Leave,69c998884f15ddb1a957eceb,LeaveRequest,69c997d34f15ddb1a957ecdd
69c998bf4f15ddb1a957ecee,APPROVE_LEAVE,2026-03-29 21:25:19.089000,Approved leave for employee,69c968b9d974f49d21cbd662,LeaveRequest,69c997f94f15ddb1a957ece4
69c99bdd4f15ddb1a957ecf0,REJECT_LEAVE,2026-03-29 21:38:37.100000,Rejected leave for unpaid. Reason: ลาเกิน 10วันต่อครั้ง,69c998884f15ddb1a957eceb,LeaveRequest,69c997f94f15ddb1a957ece4
69c99c294f15ddb1a957ecf2,CREATE_LEAVE,2026-03-29 21:39:53.982000,Created leave request for Unpaid Leave,69c99c294f15ddb1a957ecf1,LeaveRequest,69c997d34f15ddb1a957ecdd
69c99c694f15ddb1a957ecf6,APPROVE_LEAVE,2026-03-29 21:40:57.642000,Approved leave for unpaid,69c99c294f15ddb1a957ecf1,LeaveRequest,69c997f94f15ddb1a957ece4
69c9a03f4f15ddb1a957ed08,APPROVE_LEAVE,2026-03-29 21:57:19.682000,Approved leave for ordi,69c9a01e4f15ddb1a957ed05,LeaveRequest,69c99e914f15ddb1a957ecfe
69c9da72722973a02040082a,CREATE_LEAVE,2026-03-30 02:05:38.649000,Created leave request for Sick Leave,69c9da72722973a020400829,LeaveRequest,69c92d8d276895ddbb195916
69c9daef722973a02040082d,APPROVE_LEAVE,2026-03-30 02:07:43.954000,Approved leave for employee,69c9da72722973a020400829,LeaveRequest,69c947fe89315d51bac071d7
69cb2fc3233146f06c31841b,APPROVE_LEAVE,2026-03-31 02:21:55.481000,Approved leave for sick,69cb2f5d233146f06c318417,LeaveRequest,69c996854f15ddb1a957ecd4
69cb3575233146f06c31841f,REJECT_LEAVE,2026-03-31 02:46:13.274000,Rejected leave for sick. Reason: มีโปรเจคเร่งด่วน,69cb3425233146f06c31841c,LeaveRequest,69c996854f15ddb1a957ecd4
